stef,0,10,20,3,30,40,17.166666666667
miao,20,100,30,70,80,90,41.083333333333
stefaos,100,20,100,100,100,100,56.277777777778
στεφ,99,100,100,100,100,100,67.166666666667
τ,0,0,0,0,0,0,53.733333333333
στεφ,100,100,90,80,70,50,58.388888888889
δεσποινα,100,90,80,65,60,60,75.833333333333
στεφ,10,10,90,100,60,60,65.416666666667
Stef,10,100,80,90,68,1,58.166666666667
Giorgos,10,90,80,100,40,86,62.916666666667
Σονια,100,80,90,50,70,68,76.333333333333
Ηρακλης,10,80,50,49,10,100,63.083333333333
στεφ,100,98,90,35,67,92,68.833333333333
